DateTime [UTC],T,Td,ff,dd,P,Pstat,rF,rSD,RR
2016-12-31 23:00:00,-5.099999999999966,-5.5,1.11,135.0,1032.6,,97.0,0.0,0.0
2017-01-01 00:00:00,-5.099999999999966,-5.5,0.56,,1031.7,,97.0,0.0,0.0
2017-01-01 01:00:00,-5.199999999999989,-5.699999999999989,1.11,315.0,1031.1,,97.0,0.0,0.0
2017-01-01 02:00:00,-5.599999999999966,-6.099999999999966,1.11,315.0,1030.5,,96.0,0.0,0.0
2017-01-01 03:00:00,-5.7999999999999545,-6.2999999999999545,1.11,270.0,1029.8,,96.0,0.0,0.0
2017-01-01 04:00:00,-6.0,-6.5,0.56,,1029.2,,97.0,0.0,0.0
2017-01-01 05:00:00,-6.2999999999999545,-6.7999999999999545,1.11,270.0,1028.9,,96.0,0.0,0.0
2017-01-01 06:00:00,-6.599999999999966,-7.199999999999989,1.11,225.0,1028.5,,95.0,0.0,0.0
2017-01-01 07:00:00,-6.199999999999989,-6.7999999999999545,1.39,270.0,1028.4,,96.0,0.0,0.0
2017-01-01 08:00:00,-6.199999999999989,-6.699999999999989,1.11,135.0,1028.1,,96.0,0.0,0.0
2017-01-01 09:00:00,-5.7999999999999545,-6.2999999999999545,1.11,270.0,1027.7,,96.0,0.0,0.0
2017-01-01 10:00:00,-5.599999999999966,-6.099999999999966,0.56,,1027.0,,97.0,0.0,0.0
2017-01-01 11:00:00,-5.399999999999977,-5.899999999999977,0.56,,1026.0,,96.0,0.0,0.0
2017-01-01 12:00:00,-5.2999999999999545,-5.699999999999989,1.11,225.0,1025.0,,97.0,0.0,0.0
2017-01-01 13:00:00,-5.099999999999966,-5.699999999999989,1.11,315.0,1024.3,,96.0,0.0,0.0
2017-01-01 14:00:00,-4.899999999999977,-5.399999999999977,1.39,225.0,1023.9,,96.0,0.0,0.0
2017-01-01 15:00:00,-4.899999999999977,-5.399999999999977,1.11,225.0,1023.7,,96.0,0.0,0.0
2017-01-01 16:00:00,-4.899999999999977,-5.399999999999977,1.11,270.0,1023.4,,96.0,0.0,0.0
2017-01-01 17:00:00,-5.2999999999999545,-5.7999999999999545,1.11,270.0,1023.3000000000001,,96.0,0.0,0.0
2017-01-01 18:00:00,-5.699999999999989,-6.2999999999999545,1.39,225.0,1023.6,,96.0,0.0,0.0
2017-01-01 19:00:00,-6.0,-6.5,1.11,225.0,1023.5,,96.0,0.0,0.0
2017-01-01 20:00:00,-5.7999999999999545,-6.399999999999977,1.11,90.0,1023.4,,96.0,0.0,0.0
2017-01-01 21:00:00,-6.2999999999999545,-6.899999999999977,0.56,,1023.3000000000001,,96.0,0.0,0.0
2017-01-01 22:00:00,-6.5,-7.199999999999989,1.11,315.0,1023.2,,95.0,0.0,0.0
2017-01-01 23:00:00,-6.599999999999966,-7.399999999999977,1.39,225.0,1023.2,,94.0,0.0,0.0
2017-01-02 00:00:00,-6.899999999999977,-7.699999999999989,1.39,225.0,1023.0,,94.0,0.0,0.0
2017-01-02 01:00:00,-6.5,-7.199999999999989,1.39,225.0,1022.8000000000001,,95.0,0.0,0.0
2017-01-02 02:00:00,-6.099999999999966,-6.7999999999999545,2.22,270.0,1022.6,,95.0,0.0,0.0
2017-01-02 03:00:00,-7.099999999999966,-7.7999999999999545,1.39,270.0,1022.7,,95.0,0.0,0.0
2017-01-02 04:00:00,-7.599999999999966,-8.399999999999977,1.11,270.0,1022.6,,94.0,0.0,0.0
2017-01-02 05:00:00,-8.099999999999966,-9.199999999999989,1.39,225.0,1022.7,,92.0,0.0,0.0
2017-01-02 06:00:00,-8.599999999999966,-9.699999999999989,0.56,270.0,1023.0,,92.0,0.0,0.0
2017-01-02 07:00:00,-8.599999999999966,-9.599999999999966,0.56,,1023.1,,92.0,0.0,0.0
2017-01-02 08:00:00,-5.7999999999999545,-6.399999999999977,4.17,270.0,1022.6,,96.0,0.0,0.0
2017-01-02 09:00:00,-5.199999999999989,-5.899999999999977,2.22,315.0,1022.6,,95.0,0.0,0.0
2017-01-02 10:00:00,-3.599999999999966,-4.099999999999966,6.67,270.0,1022.0,,96.0,0.0,0.0
2017-01-02 11:00:00,-3.3999999999999773,-3.8999999999999773,5.83,270.0,1021.5,,96.0,0.0,0.0
2017-01-02 12:00:00,-2.8999999999999773,-3.5,9.17,270.0,1021.4,,96.0,0.0,0.0
2017-01-02 13:00:00,-2.599999999999966,-3.2999999999999545,6.11,270.0,1021.5,,95.0,0.0,0.0
2017-01-02 14:00:00,-2.1999999999999886,-2.8999999999999773,6.11,270.0,1021.7,,95.0,0.0,0.0
2017-01-02 15:00:00,-1.8999999999999773,-2.5,4.17,270.0,1021.8000000000001,,96.0,0.0,0.0
2017-01-02 16:00:00,-1.8999999999999773,-2.3999999999999773,3.06,315.0,1021.9,,96.0,0.0,0.0
2017-01-02 17:00:00,-1.599999999999966,-1.8999999999999773,2.22,270.0,1022.3000000000001,,98.0,0.0,0.0
2017-01-02 18:00:00,-1.6999999999999886,-2.0,1.39,315.0,1022.6,,97.0,0.0,0.0
2017-01-02 19:00:00,-0.5999999999999659,-1.0,3.06,270.0,1023.1,,97.0,0.0,0.0
2017-01-02 20:00:00,-0.5999999999999659,-0.8999999999999773,2.5,270.0,1023.6,,98.0,0.0,0.0
2017-01-02 21:00:00,-0.5,-0.6999999999999886,4.17,270.0,1024.1,,99.0,0.0,0.0
2017-01-02 22:00:00,-1.6999999999999886,-2.0,2.22,315.0,1024.6,,97.0,0.0,0.0
2017-01-02 23:00:00,-1.5,-1.8999999999999773,3.06,315.0,1024.8,,97.0,0.0,0.0
2017-01-03 00:00:00,-1.6999999999999886,-2.2999999999999545,3.06,270.0,1025.1,,96.0,0.0,0.0
2017-01-03 01:00:00,,,,,,,,,
2017-01-03 02:00:00,-0.8999999999999773,-1.6999999999999886,6.67,270.0,1025.6,,94.0,0.0,0.0
2017-01-03 03:00:00,-1.0,-2.099999999999966,5.83,270.0,1026.2,,93.0,0.0,0.0
2017-01-03 04:00:00,-1.5,-2.8999999999999773,4.72,270.0,1026.5,,90.0,0.0,0.0
2017-01-03 05:00:00,-1.3999999999999773,-2.7999999999999545,5.0,270.0,1026.7,,90.0,0.0,0.0
2017-01-03 06:00:00,,,,,,,,,
2017-01-03 07:00:00,-1.3999999999999773,-3.6999999999999886,6.11,270.0,1027.2,,84.0,0.0,0.0
2017-01-03 08:00:00,-1.099999999999966,-4.099999999999966,7.22,270.0,1027.6,,80.0,0.0,0.0
2017-01-03 09:00:00,-0.7999999999999545,-3.8999999999999773,6.11,270.0,1027.9,,79.0,0.0,0.0
2017-01-03 10:00:00,-0.2999999999999545,-4.2999999999999545,8.89,270.0,1028.2,,75.0,0.0,0.0
2017-01-03 11:00:00,0.0,-3.6999999999999886,6.67,270.0,1027.7,,77.0,21.67,0.3
2017-01-03 12:00:00,0.10000000000002274,-4.0,7.22,270.0,1027.1,,74.0,8.33,
2017-01-03 13:00:00,-0.0999999999999659,-3.3999999999999773,6.67,270.0,1026.8,,78.0,0.0,0.0
2017-01-03 14:00:00,0.20000000000004547,-4.199999999999989,7.22,270.0,1026.4,,73.0,0.0,0.0
2017-01-03 15:00:00,0.10000000000002274,-4.2999999999999545,6.67,270.0,1025.8,,73.0,68.33,0.0
2017-01-03 16:00:00,-0.39999999999997726,-4.699999999999989,6.11,270.0,1026.1,,73.0,1.67,0.0
2017-01-03 17:00:00,-1.0,-4.899999999999977,4.72,270.0,1025.3,,75.0,0.0,0.0
2017-01-03 18:00:00,-1.599999999999966,-5.099999999999966,4.17,225.0,1025.2,,77.0,0.0,0.0
2017-01-03 19:00:00,-1.3999999999999773,-4.899999999999977,5.83,225.0,1024.5,,77.0,0.0,0.0
2017-01-03 20:00:00,-0.8999999999999773,-4.7999999999999545,8.33,225.0,1023.6,,75.0,0.0,0.0
2017-01-03 21:00:00,-1.0,-4.2999999999999545,5.83,270.0,1022.9,,78.0,0.0,0.0
2017-01-03 22:00:00,-1.099999999999966,-4.599999999999966,4.17,225.0,1022.2,,77.0,0.0,0.0
2017-01-03 23:00:00,-0.39999999999997726,-4.599999999999966,5.83,270.0,1021.4,,73.0,0.0,0.0
2017-01-04 00:00:00,0.20000000000004547,-4.5,7.22,270.0,1020.0,,71.0,0.0,0.0
2017-01-04 01:00:00,0.10000000000002274,-4.399999999999977,7.22,270.0,1019.3000000000001,,72.0,0.0,0.0
2017-01-04 02:00:00,0.4000000000000341,-3.6999999999999886,11.67,270.0,1019.1,,74.0,0.0,0.0
2017-01-04 03:00:00,-0.5999999999999659,-2.2999999999999545,6.67,270.0,1018.1,,88.0,0.0,0.0
2017-01-04 04:00:00,0.4000000000000341,-3.6999999999999886,5.0,270.0,1016.6,,74.0,0.0,0.0
2017-01-04 05:00:00,1.0,-4.199999999999989,9.17,270.0,1015.1,,69.0,0.0,0.0
2017-01-04 06:00:00,0.9000000000000341,-3.3999999999999773,10.83,270.0,1014.4,,73.0,0.0,0.0
2017-01-04 07:00:00,-0.5,-0.6999999999999886,8.89,270.0,1014.3000000000001,,99.0,0.0,0.0
2017-01-04 08:00:00,-0.2999999999999545,-0.39999999999997726,9.17,270.0,1013.6,,99.0,0.0,0.1
2017-01-04 09:00:00,0.30000000000001137,-0.19999999999998863,10.28,270.0,1013.4,,96.0,0.0,0.0
2017-01-04 10:00:00,0.4000000000000341,-0.5,8.89,270.0,1012.8000000000001,,94.0,0.0,0.2
2017-01-04 11:00:00,0.6000000000000227,-0.39999999999997726,8.89,270.0,1011.8000000000001,,94.0,0.0,0.2
2017-01-04 12:00:00,1.0,-0.2999999999999545,9.17,270.0,1010.8000000000001,,91.0,0.0,0.5
2017-01-04 13:00:00,1.400000000000034,-0.6999999999999886,12.78,270.0,1010.5,,86.0,0.0,0.3
2017-01-04 14:00:00,1.400000000000034,-0.5999999999999659,10.28,270.0,1010.6,,86.0,0.0,0.3
2017-01-04 15:00:00,0.7000000000000455,-0.39999999999997726,8.89,270.0,1010.6,,92.0,0.0,0.2
2017-01-04 16:00:00,1.2000000000000455,-1.0,11.39,270.0,1010.5,,85.0,0.0,0.2
2017-01-04 17:00:00,0.9000000000000341,-0.8999999999999773,9.72,270.0,1011.0,,88.0,0.0,0.0
2017-01-04 18:00:00,1.5,-1.5,11.67,270.0,1010.9,,81.0,0.0,0.1
2017-01-04 19:00:00,1.5,-1.599999999999966,9.17,270.0,1011.1,,80.0,0.0,0.0
2017-01-04 20:00:00,1.1000000000000227,-1.1999999999999886,8.89,270.0,1011.6,,85.0,0.0,0.0
2017-01-04 21:00:00,0.9000000000000341,-1.1999999999999886,7.22,270.0,1011.8000000000001,,86.0,0.0,0.0
2017-01-04 22:00:00,1.1000000000000227,-1.599999999999966,11.39,270.0,1011.6,,82.0,0.0,0.0
2017-01-04 23:00:00,1.2000000000000455,-1.7999999999999545,10.28,270.0,1012.4,,80.0,0.0,0.0
2017-01-05 00:00:00,1.1000000000000227,-1.6999999999999886,8.33,270.0,1012.7,,82.0,0.0,0.0
2017-01-05 01:00:00,0.8000000000000114,-2.3999999999999773,10.28,270.0,1012.7,,80.0,0.0,0.0
2017-01-05 02:00:00,0.6000000000000227,-2.7999999999999545,8.89,270.0,1013.3000000000001,,78.0,0.0,0.0
2017-01-05 03:00:00,0.4000000000000341,-2.599999999999966,7.22,270.0,1012.9,,81.0,0.0,0.0
2017-01-05 04:00:00,-1.6999999999999886,-3.099999999999966,5.83,315.0,1014.2,,91.0,0.0,0.0
2017-01-05 05:00:00,-1.7999999999999545,-4.2999999999999545,5.0,270.0,1016.0,,83.0,0.0,0.0
2017-01-05 06:00:00,-2.3999999999999773,-5.5,8.89,270.0,1017.8000000000001,,80.0,0.0,0.0
2017-01-05 07:00:00,-3.2999999999999545,-5.2999999999999545,10.28,270.0,1019.4,,86.0,0.0,0.0
2017-01-05 08:00:00,-3.5,-6.2999999999999545,9.17,270.0,1020.7,,81.0,0.0,0.0
2017-01-05 09:00:00,-3.599999999999966,-6.699999999999989,7.78,270.0,1021.5,,79.0,0.0,0.0
2017-01-05 10:00:00,-3.0,-6.5,6.11,270.0,1022.3000000000001,,77.0,11.67,0.0
2017-01-05 11:00:00,-2.599999999999966,-6.5,5.83,270.0,1022.7,,75.0,1.67,0.0
2017-01-05 12:00:00,-2.5,-6.0,5.83,270.0,1023.4,,77.0,0.0,0.0
2017-01-05 13:00:00,-2.5,-5.899999999999977,4.72,315.0,1024.2,,78.0,0.0,0.0
2017-01-05 14:00:00,-2.3999999999999773,-8.099999999999966,3.06,315.0,1025.7,,65.0,1.67,0.0
2017-01-05 15:00:00,-2.8999999999999773,-9.299999999999955,3.61,315.0,1027.0,,62.0,0.0,0.0
2017-01-05 16:00:00,-3.5,-9.799999999999955,3.61,315.0,1028.0,,62.0,0.0,0.0
2017-01-05 17:00:00,-4.099999999999966,-8.5,2.5,360.0,1029.2,,71.0,0.0,0.0
2017-01-05 18:00:00,-4.0,-8.599999999999966,3.61,315.0,1030.4,,71.0,0.0,0.0
2017-01-05 19:00:00,-4.099999999999966,-9.299999999999955,2.5,315.0,1031.2,,67.0,0.0,0.0
2017-01-05 20:00:00,-5.5,-9.699999999999989,2.5,360.0,1032.3,,72.0,0.0,0.0
2017-01-05 21:00:00,-5.599999999999966,-10.199999999999989,2.5,315.0,1033.0,,70.0,0.0,0.0
2017-01-05 22:00:00,-5.599999999999966,-9.899999999999977,3.61,315.0,1033.9,,72.0,0.0,0.0
2017-01-05 23:00:00,-7.2999999999999545,-10.5,1.39,315.0,1034.9,,78.0,0.0,0.0
2017-01-06 00:00:00,-8.899999999999977,-11.399999999999977,1.39,315.0,1035.6,,82.0,0.0,0.0
2017-01-06 01:00:00,-7.899999999999977,-12.0,3.06,315.0,1036.3,,73.0,0.0,0.0
2017-01-06 02:00:00,-8.099999999999966,-11.799999999999955,2.5,315.0,1037.4,,75.0,0.0,0.0
2017-01-06 03:00:00,-8.599999999999966,-13.099999999999966,3.61,270.0,1037.9,,70.0,0.0,0.0
2017-01-06 04:00:00,-8.699999999999989,-13.299999999999955,5.0,315.0,1038.1,,69.0,0.0,0.0
2017-01-06 05:00:00,-9.699999999999989,-14.0,3.06,315.0,1039.0,,71.0,0.0,0.0
2017-01-06 06:00:00,-10.699999999999989,-14.199999999999989,4.72,270.0,1040.0,,75.0,0.0,0.0
